14:12:59.495 [main] INFO  org.aklein.contacts.api.Main - Contacts starting with options: input = null, adapter = org.aklein.contacts.adapter.CSV, reportDir = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/app/src/main/dist/reports, language = de, preferences = /org/aklein/contacts
14:17:39.715 [main] INFO  org.aklein.contacts.api.Main - Contacts starting with options: input = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/contacts.csv, adapter = org.aklein.contacts.adapter.CSV, reportDir = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/app/src/main/dist/reports, language = de, preferences = /org/aklein/contacts
14:24:12.003 [main] INFO  org.aklein.contacts.api.Main - Contacts starting with options: input = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/contacts.csv, adapter = org.aklein.contacts.adapter.CSV, reportDir = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/app/src/main/dist/reports, language = de, preferences = /org/aklein/contacts
14:47:39.035 [main] INFO  org.aklein.contacts.api.Main - Contacts starting with options: input = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/contacts.csv, adapter = org.aklein.contacts.adapter.CSV, reportDir = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/app/src/main/dist/reports, language = de, preferences = /org/aklein/contacts
14:52:00.980 [main] INFO  org.aklein.contacts.api.Main - Contacts starting with options: input = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/contacts.csv, adapter = org.aklein.contacts.adapter.CSV, reportDir = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/app/src/main/dist/reports, language = de, preferences = /org/aklein/contacts
14:55:54.237 [main] INFO  org.aklein.contacts.api.Main - Contacts starting with options: input = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/contacts.csv, adapter = org.aklein.contacts.adapter.CSV, reportDir = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/app/src/main/dist/reports, language = de, preferences = /org/aklein/contacts
14:56:56.578 [main] INFO  org.aklein.contacts.api.Main - Contacts starting with options: input = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/contacts.csv, adapter = org.aklein.contacts.adapter.CSV, reportDir = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/app/src/main/dist/reports, language = de, preferences = /org/aklein/contacts
15:46:50.321 [main] INFO  org.aklein.contacts.api.Main - Contacts starting with options: input = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/contacts.csv, adapter = org.aklein.contacts.adapter.CSV, reportDir = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/app/src/main/dist/reports, language = de, preferences = /org/aklein/contacts
16:17:20.685 [main] INFO  org.aklein.contacts.api.Main - Contacts starting with options: input = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/contacts.csv, adapter = org.aklein.contacts.adapter.CSV, reportDir = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/app/src/main/dist/reports, language = de, preferences = /org/aklein/contacts
16:20:19.563 [main] INFO  org.aklein.contacts.api.Main - Contacts starting with options: input = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/contacts.csv, adapter = org.aklein.contacts.adapter.CSV, reportDir = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/app/src/main/dist/reports, language = de, preferences = /org/aklein/contacts
16:21:31.796 [main] INFO  org.aklein.contacts.api.Main - Contacts starting with options: input = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/contacts.csv, adapter = org.aklein.contacts.adapter.CSV, reportDir = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/app/src/main/dist/reports, language = de, preferences = /org/aklein/contacts
16:22:31.455 [main] INFO  org.aklein.contacts.api.Main - Contacts starting with options: input = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/contacts.csv, adapter = org.aklein.contacts.adapter.CSV, reportDir = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/app/src/main/dist/reports, language = de, preferences = /org/aklein/contacts
16:23:28.038 [main] INFO  org.aklein.contacts.api.Main - Contacts starting with options: input = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/contacts.csv, adapter = org.aklein.contacts.adapter.CSV, reportDir = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/app/src/main/dist/reports, language = de, preferences = /org/aklein/contacts
16:25:06.095 [main] INFO  org.aklein.contacts.api.Main - Contacts starting with options: input = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/contacts.csv, adapter = org.aklein.contacts.adapter.CSV, reportDir = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/app/src/main/dist/reports, language = de, preferences = /org/aklein/contacts
16:27:21.497 [main] INFO  org.aklein.contacts.api.Main - Contacts starting with options: input = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/contacts.csv, adapter = org.aklein.contacts.adapter.CSV, reportDir = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/app/src/main/dist/reports, language = de, preferences = /org/aklein/contacts
16:29:19.991 [main] INFO  org.aklein.contacts.api.Main - Contacts starting with options: input = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/contacts.csv, adapter = org.aklein.contacts.adapter.CSV, reportDir = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/app/src/main/dist/reports, language = de, preferences = /org/aklein/contacts
16:29:56.864 [main] INFO  org.aklein.contacts.api.Main - Contacts starting with options: input = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/contacts.csv, adapter = org.aklein.contacts.adapter.CSV, reportDir = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/app/src/main/dist/reports, language = de, preferences = /org/aklein/contacts
16:36:00.440 [main] INFO  org.aklein.contacts.api.Main - Contacts starting with options: input = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/contacts.csv, adapter = org.aklein.contacts.adapter.CSV, reportDir = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/app/src/main/dist/reports, language = de, preferences = /org/aklein/contacts
16:38:03.083 [main] INFO  org.aklein.contacts.api.Main - Contacts starting with options: input = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/contacts.csv, adapter = org.aklein.contacts.adapter.CSV, reportDir = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/app/src/main/dist/reports, language = de, preferences = /org/aklein/contacts
16:44:25.014 [main] INFO  org.aklein.contacts.api.Main - Contacts starting with options: input = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/contacts.csv, adapter = org.aklein.contacts.adapter.CSV, reportDir = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/app/src/main/dist/reports, language = de, preferences = /org/aklein/contacts
16:44:40.447 [main] INFO  org.aklein.contacts.api.Main - Contacts starting with options: input = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/contacts.csv, adapter = org.aklein.contacts.adapter.CSV, reportDir = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/app/src/main/dist/reports, language = de, preferences = /org/aklein/contacts
16:46:18.585 [main] INFO  org.aklein.contacts.api.Main - Contacts starting with options: input = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/contacts.csv, adapter = org.aklein.contacts.adapter.CSV, reportDir = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/app/src/main/dist/reports, language = de, preferences = /org/aklein/contacts
16:49:24.245 [main] INFO  org.aklein.contacts.api.Main - Contacts starting with options: input = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/contacts.csv, adapter = org.aklein.contacts.adapter.CSV, reportDir = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/app/src/main/dist/reports, language = de, preferences = /org/aklein/contacts
16:54:25.336 [main] INFO  org.aklein.contacts.api.Main - Contacts starting with options: input = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/contacts.csv, adapter = org.aklein.contacts.adapter.CSV, reportDir = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/app/src/main/dist/reports, language = de, preferences = /org/aklein/contacts
16:55:25.934 [main] INFO  org.aklein.contacts.api.Main - Contacts starting with options: input = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/contacts.csv, adapter = org.aklein.contacts.adapter.CSV, reportDir = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/app/src/main/dist/reports, language = de, preferences = /org/aklein/contacts
16:58:22.577 [main] INFO  org.aklein.contacts.api.Main - Contacts starting with options: input = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/contacts.csv, adapter = org.aklein.contacts.adapter.CSV, reportDir = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/app/src/main/dist/reports, language = de, preferences = /org/aklein/contacts
17:06:35.111 [main] INFO  org.aklein.contacts.api.Main - Contacts starting with options: input = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/contacts.csv, adapter = org.aklein.contacts.adapter.CSV, reportDir = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/app/src/main/dist/reports, language = de, preferences = /org/aklein/contacts
17:07:36.433 [main] INFO  org.aklein.contacts.api.Main - Contacts starting with options: input = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/contacts.csv, adapter = org.aklein.contacts.adapter.CSV, reportDir = /Users/alexanderklein/Projects/IdeaProjects/Riehle/Contacts/app/src/main/dist/reports, language = de, preferences = /org/aklein/contacts
